이카운트_품목코드,이카운트_품목명,카페24_매칭명,카페24_상품코드,카페24_품목코드,유사도
(1)100구조재A14,◈구조재 1*4 12자 (19*89) 원포,마감용 구조재인테리어등급 1” X 4” (19mm X 89mm),P0000BEL,P0000BEL000A,62.75
(1)100구조재A16,◈구조재 1*6 12자 (19*140) 원식스,마감용 구조재인테리어등급 1” X 6” (19mm X 140mm),P0000BEL,P0000BEL000B,62.96
(1)100구조재A18,◈구조재 1*8 12자 (19*184) 원에잇,마감용 구조재인테리어등급 1” X 8” (19mm X 184mm),P0000BEL,P0000BEL000C,62.96
(1)100구조재B110,◈구조재 1*10 12자 (19*235) 원텐,마감용 구조재인테리어등급 1” X 10” (19mm X 235mm),P0000BEL,P0000BEL000D,65.45
(1)100구조재B112,◈구조재 1*12 12자 (19*286) 원투엘브,마감용 구조재인테리어등급 1” X 12” (19mm X 286mm),P0000BEL,P0000BEL000E,63.16
(1)100구조재C22,◈구조재 2*2 12자 (38*38) 투투,마감용 구조재인테리어등급 2” X 10” (38mm X 235mm),P0000BEL,P0000BEL000K,58.33
(1)100구조재C24,◈구조재 2*4 12자 (38*89) 투포,마감용 구조재인테리어등급 2” X 4” (38mm X 89mm),P0000BEL,P0000BEL000H,62.75
(1)100구조재C26,◈구조재 2*6 12자 (38*140) 투식스,마감용 구조재인테리어등급 2” X 6” (38mm X 140mm),P0000BEL,P0000BEL000I,62.96
(1)100구조재C28,◈구조재 2*8 12자 (38*184) 투에잇,마감용 구조재인테리어등급 2” X 8” (38mm X 184mm),P0000BEL,P0000BEL000J,62.96
(1)100구조재D212,◈구조재 2*12 12자 (38*286) 투투엘브,마감용 구조재인테리어등급 2” X 12” (38mm X 286mm),P0000BEL,P0000BEL000L,63.16
(1)100구조재E70각,◈구조재 70*70 12자 ■(70각재),멀바우계단재 대봉 90 x 90 x 1200,P0000BFR,P0000BFR000D,50.0
(1)100구조재E90각,◈구조재 90*90 12자 ■4*4(90각재) 포포,마감용 구조재인테리어등급 1” X 4” (19mm X 89mm),P0000BEL,P0000BEL000A,54.9
(1)100라왕301400원,◈라왕 솔리드 ○원주목○ 30*1400,월넛 솔리드 집성판솔리드 30T x 920 x 1800,P0000BKZ,P0000BKZ000F,58.33
(1)100라왕심재,◈라왕 30*40*2100 (심재),"라왕각재라왕다루끼,한치각,심재,후지 라왕 30 x 40 x 2100 심재",P0000BGF,P0000BGF000B,100.0
(1)100라왕한치각,◈라왕 30*30*3600 (집성 한치각),"라왕각재라왕다루끼,한치각,심재,후지 라왕 30 x 30 x 3600 다루끼(한치각)",P0000BGF,P0000BGF000A,91.43
(1)100라왕후지,◈라왕 10*40*2100 (후지),"라왕각재라왕다루끼,한치각,심재,후지 라왕 10 x 40 x 2100 후지",P0000BGF,P0000BGF000C,100.0
(1)100목망꽃바둑1015,◈목망 꽃바둑살 10*15*600*1860,쏘노클린후로링 15 x 150 x 1820 (단판),P0000BJI,P0000BJI000B,54.17
(1)100목망캡,◈22*24*2000 캡(목망테두리),월넛 솔리드 집성판솔리드 20T x 1000 x 2400,P0000BKZ,P0000BKZ000C,53.06
(1)100미송루바8자,◈미송루바 12*120*8자 (8장) 펠레손,미송합판(유절)1220 x 2440mm 미송합판 4.8T,P0000BED,P0000BED000A,57.14
(1)100방부목1120,◈방부목 21*120*3600 데크(중),라치(낙엽송)21x95x3000데크재 라치 데크재 21 x 120 x 3600,P0000BVZ,P0000BVZ000G,74.29
(1)100방부목295,◈방부목 15*95*3600 데크(소),방부목각재/데크재 5” X 5” 크로바(120mm X 120mm),P0000BEI,P0000BEI000K,63.64
(1)100방부목3140,◈방부목 25*140*3600 데크(대),방부목각재/데크재 2” X 6” (38mm X 140mm),P0000BEI,P0000BEI000F,70.83
(1)100방부목4A22,◈방부목 2*2 12자 (38*38) 투투,방부목각재/데크재 2” X 10” (38mm X 235mm),P0000BEI,P0000BEI000H,59.09
(1)100방부목524,◈방부목 2*4 12자 (38*89) 투포,방부목각재/데크재 2” X 4” (38mm X 89mm),P0000BEI,P0000BEI000E,63.83
(1)100방부목626,◈방부목 2*6 12자 (38*140) 투식스,방부목각재/데크재 2” X 6” (38mm X 140mm),P0000BEI,P0000BEI000F,64.0
(1)100방부목8212,◈방부목 2*12 12자 (38*285) 투투엘브,방부목각재/데크재 2” X 12” (38mm X 285mm),P0000BEI,P0000BEI000I,64.15
(1)100방부목91라티,◈방부 라티스 (1220*2440*15),방부 라티스 (15T) 15T x 1200mm x 2400mm,P0000BTH,P0000BTH000A,80.85
(1)100방부목944,◈방부목 4*4 12자 (90*90) 포포 [90각],방부목각재/데크재 4” X 4” (90mm X 90mm),P0000BEI,P0000BEI000J,56.41
(1)100방킬8자,◈방킬라이 2400*90*19 (8자),방킬라이19x90x2400데크재 방킬라이 19 x 90 x 2400,P0000BHT,P0000BHT000C,91.89
(1)100소송1303012,◈소송(KD) 30*30*12자 (한치각) [단],"라왕각재라왕다루끼,한치각,심재,후지 라왕 30 x 30 x 3600 다루끼(한치각)",P0000BGF,P0000BGF000A,57.14
(1)100소송2306912,◈소송(KD) 30*69*12자 (투바이) [단],"소송 각재(KD)다루끼,투바이,나나부 (KD) 소송 투바이 30x69x3600 1단",P0000BGC,P0000BGC000C,63.16
(1)100소송330308,◈소송(KD)●30*30★8자★ (한치각) [단],"라왕각재라왕다루끼,한치각,심재,후지 라왕 30 x 30 x 3600 다루끼(한치각)",P0000BGF,P0000BGF000A,59.26
(1)100소송4203012,◈소송(KD)●20*30*12자 (★나나부) [단],"소송 각재(KD)다루끼,투바이,나나부 (KD) 소송 나나부 20x30x3600 1단",P0000BGC,P0000BGC000E,63.16
(1)100소송53030121,◈소송(KD)¶30*30*12자 (한치각) 낱개!!,"라왕각재라왕다루끼,한치각,심재,후지 라왕 30 x 30 x 3600 다루끼(한치각)",P0000BGF,P0000BGF000A,55.17
(1)100소송63069121,◈소송(KD)¶30*69*12자 (투바이) 낱개!!,"소송 각재(KD)다루끼,투바이,나나부 (KD) 소송 다루끼 30x30x3600 1개 (※낱개)",P0000BGC,P0000BGC000F,66.67
(1)100자나무,◈자나무 (미장/조적/쫄대용 등),자나무(미장용)56 x 2440mm 11.5T x 56mm x 2440mm (1개),P0000BLN,P0000BLN000A,33.33
(1)100편백루바18유,◈히노끼루바 10*100 (유절/고급) 8자,히노끼루바(유절) 10T8매/단 히노끼 루바 (유절/8자),P0000BYR,P0000BYR000A,69.39
(1)100편백루바8무,◈히노끼루바 10*100 (통 무절/고급) 8자,히노끼루바(무절) 10T8매/단 히노끼 루바 (통무절/8자),P0000BIJ,P0000BIJ000A,65.45
(1)200A자이01일반93,◈[GS자이]천연 일반석고 3*6*9.5,GS건설자이 천연 일반석고보드 9.5T x 900 x 1800 (936),P0000CCL,P0000CCL000A,72.41
(1)200국산2차음1236,◈차음석고 900*1800*12.5,KCC차음 석고보드 12.5 x 900 x 1800mm,P0000BFG,P0000BFG000A,83.33
(1)200자이02방수936,◈[GS자이]천연 방수석고 3*6*9.5 (水),GS건설자이 천연 방수석고보드 9.5T x 900 x 1800 (936),P0000CCM,P0000CCM000A,72.41
(1)200자이03방화1236,◈[GS자이]천연 방화석고 3*6*12.5 (火),GS건설자이 천연 방화석고보드 12.5T x 900 x 1800 (1236),P0000BFF,P0000BFF000A,72.13
(1)200자이04일반1236,◈[GS자이]천연 일반석고 3*6*★12.5,GS건설자이 천연 일반석고보드 12.5T x 900 x 1800 (1236),P0000CCL,P0000CCL000D,72.13
(1)200자이05일반938,◈[GS자이]삼팔★천연 일반석고 3*8*9.5,GS건설자이 천연 일반석고보드 9.5T x 900 x 2400 (938),P0000CCL,P0000CCL000C,68.85
(1)200하국산방화1236,◈국산◈ 방화석고 3*6*12.5 (火),KCC방화 석고보드 12.5T x 900 x 1800,P0000BFE,P0000BFE000A,57.78
(1)201CRC636,◈CRC(시멘트보드) 3*6 6T (하지용),CRC보드하지용 미색 6T x 900 x 1800,P0000BSU,P0000BSU000C,63.83
(1)201CRC936,◈CRC(시멘트보드) 3*6 9T (하지용),CRC보드하지용 미색 6T x 900 x 1800,P0000BSU,P0000BSU000C,63.83
(1)201석고텍스KCC,◈석고텍스 [KCC] 300*600*9.5 [18매],"벽산 석고텍스9.5T x 300 x 600, 18매/1Box(1평) 석고텍스 9.5T x 300 x 600 18매/1Box(1평)",P0000CBB,P0000CBB000D,86.96
(1)3001A2748BB,◈합판 1220*2440*2.7 BB/CC (이찌부),오크 미장합판(라미날 합판)1220 x 2440mm 오크 미장합판 2.7T x 1220 x 2440mm,P0000BNC,P0000BNC000A,68.85
(1)3001B448오징,◈합판 1220*2440*4 ~(오징어/아로)~,준내수합판 (국산 KS)1220 x 2440mm 4.4T x 1220 x 2440 국산 ks,P0000BNE,P0000BNE000A,72.22
(1)3001C4648BB,◈합판 1220*2440*4.6 BB/CC (니부),준내수합판 (국산 KS)1220 x 2440mm 4.4T x 1220 x 2440 국산 ks,P0000BNE,P0000BNE000A,65.0
(1)3001D4648알,◈합판★R★1220*2440*4.6 알비자(니부),일반합판(수입산) 4*81220x2440mm 4.6T x 1220 x 2440 동남아산 (알비자),P0000BEE,P0000BEE000B,77.27
(1)3001E8548BB,◈합판 1220*2440*8.5 BB/CC (삼부),미송합판(유절)1220 x 2440mm 미송합판 8.5T,P0000BED,P0000BED000C,67.92
(1)3001F8548MLH,◈합판 1220*2440*8.5 MLH (삼부),일반합판(수입산) 4*81220x2440mm 8.5T x 1220 x 2440 베트남산 (MLH),P0000BEE,P0000BEE000L,80.95
(1)3001G38548콤,◈합판 1220*2440*8.5 콤비★(삼부),일반합판(수입산) 4*81220x2440mm 8.5T x 1220 x 2440 콤비,P0000BEE,P0000BEE000E,80.0
(1)3001H11548BB,◈합판 1220*2440*11.5 BB/CC (연부) [고급],일반합판(수입산) 4*81220x2440mm 11.5T x 1220 x 2440 동남아산 (고급),P0000BEE,P0000BEE000I,70.83
(1)3001I11548MLH,◈합판 1220*2440*11.5 MLH (연부),일반합판(수입산) 4*81220x2440mm 11.5T x 1220 x 2440 베트남산 (MLH),P0000BEE,P0000BEE000M,81.82
(1)3001J11548콤,◈합판 1220*2440*11.5 콤비★(연부),일반합판(수입산) 4*81220x2440mm 11.5T x 1220 x 2440 콤비,P0000BEE,P0000BEE000G,80.95
(1)3001K11548다,◈합판 1220*2440*11.5 ★다이아 (연부) [일반],일반합판(수입산) 4*81220x2440mm 11.5T x 1220 x 2440 동남아산 (일반),P0000BEE,P0000BEE000H,73.91
(1)3001L14548BB,◈합판 1220*2440*14.5 BB/CC (고부),준내수합판 (국산 KS)1220 x 2440mm 8.5T x 1220 x 2440 국산 ks,P0000BNE,P0000BNE000B,66.67
(1)3001M17548BB,◈합판 1220*2440*17.5 BB/CC (록고부),일반합판(수입산) 4*81220x2440mm 17.5T x 1220 x 2440 동남아산 (고급),P0000BEE,P0000BEE000K,65.12
(1)3001Y코아18알,◈코아합판 1220*2440*18 알비자,일반합판(수입산) 4*81220x2440mm 4.6T x 1220 x 2440 동남아산 (알비자),P0000BEE,P0000BEE000B,78.95
(1)3001Z코아18라,◈코아합판 1220*2440*18 라왕(고급)★,라왕 집성판사이드핑거 18T x 1220 x 2440,P0000BEW,P0000BEW000A,73.08
(1)300A12736B,◈합판 910*1820*2.7 BB/CC (이찌부),일반합판 3*6910x1820mm 2.7T x 910 x 1820 동남아산,P0000CAT,P0000CAT000A,61.54
(1)300A1자작SBB4,◈자작합판 1220*2440*4 (S/BB) 롱/러,자작합판1220 x 2440mm 자작 합판 12T (S/BB) 러시아,P0000BEF,P0000BEF000D,69.84
(1)300A24636B,◈합판 910*1820*4.6 BB/CC (니부),일반합판 3*6910x1820mm 4.6T x 910 x 1820 동남아산,P0000CAT,P0000CAT000B,63.16
(1)300A2자작SBB6,◈자작합판 1220*2440*6 (S/BB) 롱/러,자작합판1220 x 2440mm 자작 합판 12T (S/BB) 러시아,P0000BEF,P0000BEF000D,69.84
(1)300A38536B,◈합판 910*1820*8.5 BB/CC (삼부),일반합판 3*6910x1820mm 8.5T x 910 x 1820 동남아산 (알비자),P0000CAT,P0000CAT000C,63.16
(1)300A3자작SBB9,◈자작합판 1220*2440*9 (S/BB) 롱/러,자작합판1220 x 2440mm 자작 합판 12T (S/BB) 러시아,P0000BEF,P0000BEF000D,69.84
(1)300A48536알,◈합판 910*1820*8.5 알비자(삼부),일반합판 3*6910x1820mm 8.5T x 910 x 1820 동남아산 (알비자),P0000CAT,P0000CAT000C,80.0
(1)300A4자작SBB12,◈자작합판 1220*2440*12 (S/BB) 롱/러,자작합판1220 x 2440mm 자작 합판 12T (S/BB) 러시아,P0000BEF,P0000BEF000D,68.75
(1)300A511536B,◈합판 910*1820*11.5 BB/CC(연부)★고급,일반합판 3*6910x1820mm 11.5T x 910 x 1820 동남아산 (고급),P0000CAT,P0000CAT000E,69.57
(1)300A5자작SBB15,◈자작합판 1220*2440*15 (S/BB) 롱/러,자작합판1220 x 2440mm 자작 합판 12T (S/BB) 러시아,P0000BEF,P0000BEF000D,68.75
(1)300A611536M,◈합판 910*1820*11.5 MLH VT (연부),일반합판 3*6910x1820mm 11.5T x 910 x 1820 베트남산 (MLH),P0000CAT,P0000CAT000F,75.56
(1)300A6자작SBB18,◈자작합판 1220*2440*18 (S/BB) 롱/러,자작합판1220 x 2440mm 자작 합판 12T (S/BB) 러시아,P0000BEF,P0000BEF000D,68.75
(1)300B1미송유48,◈미송(유절) 1220*2440*4.8,미송합판(유절)1220 x 2440mm 미송합판 4.8T,P0000BED,P0000BED000A,89.36
(1)300B2미송유85,◈미송(유절) 1220*2440*8.5,미송합판(유절)1220 x 2440mm 미송합판 8.5T,P0000BED,P0000BED000C,89.36
(1)300B3미송유12,◈미송(유절) 1220*2440*12,미송합판(유절)1220 x 2440mm 미송합판 12T,P0000BED,P0000BED000D,88.89
(1)300B4미송유15,◈미송(유절) 1220*2440*15,미송합판(유절)1220 x 2440mm 미송합판 15T,P0000BED,P0000BED000E,88.89
(1)300B5미송유18,◈미송(유절) 1220*2440*18,미송합판(유절)1220 x 2440mm 미송합판 18T,P0000BED,P0000BED000F,88.89
(1)300B6미송무45,◈미송(무절★양면) 1220*2440*4.5,미송합판(양면무절)1220 x 2440mm 미송합판 4.5T,P0000BKX,P0000BKX000A,80.77
(1)300C1낙엽48,◈낙엽송 1220*2440*4.8 엠보,낙엽송 합판 (엠보)1220 x 2440mm 낙엽송 4.8T 1220x2440mm,P0000BGU,P0000BGU000A,81.08
(1)300C2낙엽75,◈낙엽송 1220*2440*7.5 엠보,낙엽송 합판 (엠보)1220 x 2440mm 낙엽송 7.5T 1220x2440mm,P0000BGU,P0000BGU000B,81.08
(1)300C3낙엽115,◈낙엽송 1220*2440*11.5 엠보,낙엽송 합판 (엠보)1220 x 2440mm 낙엽송 11.5T 1220x2440mm,P0000BGU,P0000BGU000C,82.05
(1)300E낙엽18,◈낙엽송 1220*2440*18 엠보,OSB (내장용)1220 x 2440mm 18.3T X 1220 X 2440 (바닥용),P0000BEK,P0000BEK000C,80.0
(1)300OSB11내,◈OSB 4*8*11.1 (내장용/라인X),OSB (내장용)1220 x 2440mm 11.1T X 1220 X 2440 (내장용),P0000BEK,P0000BEK000B,70.59
(1)300OSB8내,◈OSB 4*8*8.0 (내장용/라인X),OSB (내장용)1220 x 2440mm 8T X 1220 X 2440 (내장용),P0000BEK,P0000BEK000A,64.29
(1)300내수1248수,◈내수 1220*2440*12 1급 (수입 KS),"내수합판 (수입 KS)910x1820mm, 1220x2440mm 12T x 1220 x 2440",P0000BGB,P0000BGB000B,79.07
(1)300내수21236수,◈내수 910*1820*12 1급 (수입 KS),"내수합판 (수입 KS)910x1820mm, 1220x2440mm 12T x 910 x 1820",P0000BGB,P0000BGB000A,78.05
(1)300백색27,◈백색합판 1220*2440*2.7 (코팅/단면),미송합판(유절)1220 x 2440mm 미송합판 7.5T,P0000BED,P0000BED000B,69.23
(1)300오크27,◈오크합판 1220*2440*2.7 (시트/단면),오크 미장합판(라미날 합판)1220 x 2440mm 오크 미장합판 2.7T x 1220 x 2440mm,P0000BNC,P0000BNC000A,74.58
(1)300준내수948,◈준내수 4*8*9 E0 친환경 국산,준내수합판 (국산 KS)1220 x 2440mm 4.4T x 1220 x 2440 국산 ks,P0000BNE,P0000BNE000A,50.0
(1)300태고1248N,◈태고 1220*2440*12 (동남아산),일반합판(수입산) 4*81220x2440mm 2.7T x 1220 x 2440 동남아산 (일반),P0000BEE,P0000BEE000A,84.21
(1)300태고21236,◈태고 910*1820*12,일반합판 3*6910x1820mm 2.7T x 910 x 1820 동남아산,P0000CAT,P0000CAT000A,76.92
(1)301MDF113고밀,◈MDF 1220*2440*2.7 R/S (고밀도),[버킷]MDF 고밀도1220 x 2440mm 12T 고밀도 MDF,P0000CSY,P0000CSY000C,65.52
(1)301MDF1245고밀,◈MDF 1220*2440*4.5 R/S (고밀도),[버킷]MDF 고밀도1220 x 2440mm 12T 고밀도 MDF,P0000CSY,P0000CSY000C,65.52
(1)301MDF136USB,◈MDF 1220*2440*6 USB,믹스 애쉬 집성판사이드핑거 18T x 1220 x 2440,P0000BYH,P0000BYH000A,68.75
(1)301MDF149USB,◈MDF 1220*2440*9 USB,믹스 애쉬 집성판사이드핑거 18T x 1220 x 2440,P0000BYH,P0000BYH000A,68.75
(1)301MDF1512USB,◈MDF 1220*2440*12 USB,미송합판(유절)1220 x 2440mm 미송합판 12T,P0000BED,P0000BED000D,68.09
(1)301MDF1615USB,◈MDF 1220*2440*15 USB,미송합판(유절)1220 x 2440mm 미송합판 15T,P0000BED,P0000BED000E,68.09
(1)301MDF1718USB,◈MDF 1220*2440*18 USB,OSB (내장용)1220 x 2440mm 18.3T X 1220 X 2440 (바닥용),P0000BEK,P0000BEK000C,77.78
(1)301MDF1825UB,◈MDF 1220*2440*25 UB(중밀도),MDF1220 x 2440mm 12T 고밀도 MDF,P0000BEB,P0000BEB000V,67.92
(1)301MDF1930UB,◈MDF 1220*2440*30 UB(중밀도),MDF1220 x 2440mm 12T 고밀도 MDF,P0000BEB,P0000BEB000V,67.92
(1)301MDF206고밀,◈MDF★고밀도★ 1220*2440*6 (수입),"내수합판 (수입 KS)910x1820mm, 1220x2440mm 12T x 1220 x 2440",P0000BGB,P0000BGB000B,73.68
(1)301MDF209고밀,◈MDF★고밀도★ 1220*2440*9 (수입),"내수합판 (수입 KS)910x1820mm, 1220x2440mm 12T x 1220 x 2440",P0000BGB,P0000BGB000B,73.68
(1)301MDF2112고밀,◈MDF★고밀도★ 1220*2440*12 (수입),"내수합판 (수입 KS)910x1820mm, 1220x2440mm 12T x 1220 x 2440",P0000BGB,P0000BGB000B,71.79
(1)301MDF2215고밀,◈MDF★고밀도★ 1220*2440*15 (수입),"내수합판 (수입 KS)910x1820mm, 1220x2440mm 12T x 1220 x 2440",P0000BGB,P0000BGB000B,71.79
(1)301MDF2318고밀,◈MDF★고밀도★ 1220*2440*18 (수입),"내수합판 (수입 KS)910x1820mm, 1220x2440mm 12T x 1220 x 2440",P0000BGB,P0000BGB000B,71.79
(1)302고무12탑,◈집성(고무나무) 1220*2440*12 T/F,삼나무 집성판솔리드 12T x 1220 x 2440,P0000BEZ,P0000BEZ000A,80.77
(1)302고무15탑,◈집성(고무나무) 1220*2440*15 T/F,삼나무 집성판솔리드 15T x 1220 x 2440,P0000BEZ,P0000BEZ000B,80.77
(1)302고무18탑,◈집성(고무나무) 1220*2440*18 T/F,삼나무 집성판솔리드 18T x 1220 x 2440,P0000BEZ,P0000BEZ000C,80.77
(1)302라디12탑,◈집성(라디에타) 1220*2440*12 T/F,라디에타파인 집성판탑핑거 12T x 1220 x 2440,P0000BEO,P0000BEO000F,83.64
(1)302라디15탑,◈집성(라디에타) 1220*2440*15 T/F,라디에타파인 집성판탑핑거 15T x 1220 x 2440,P0000BEO,P0000BEO000G,83.64
(1)302라디18탑,◈집성(라디에타) 1220*2440*18 T/F,라디에타파인 집성판탑핑거 18T x 1220 x 2440,P0000BEO,P0000BEO000H,83.64
(1)302라디24탑,◈집성(라디에타) 1220*2440*24 T/F,라디에타파인 집성판탑핑거 24T x 1220 x 2440,P0000BEO,P0000BEO000I,83.64
(1)302라디30탑,◈집성(라디에타) 1220*2440*30 T/F,라디에타파인 집성판탑핑거 30T x 1220 x 2440,P0000BEO,P0000BEO000J,83.64
(1)302레드12솔,◈집성(레드파인) 1220*2440*12 솔리/유,레드파인 집성판솔리드 12T x 1220 x 2440 (솔),P0000BEY,P0000BEY000A,85.71
(1)302레드15솔,◈집성(레드파인) 1220*2440*15 솔리/유,레드파인 집성판솔리드 15T x 1220 x 2440 (솔),P0000BEY,P0000BEY000B,85.71
(1)302레드18솔,◈집성(레드파인) 1220*2440*18 솔리/유,레드파인 집성판솔리드 18T x 1220 x 2440 (솔),P0000BEY,P0000BEY000C,85.71
(1)302레드60각,◈집성(레드파인)솔리드 각재 60*60*2440,레드파인 집성각재솔리드 60 x 60 x 2440,P0000BFX,P0000BFX000B,86.96
(1)302멀바1238,◈집성(멀바우) 910*2440*12 S/F,멀바우 집성판사이드핑거 12T x 910 x 2400,P0000BJU,P0000BJU000A,74.51
(1)302멀바1538,◈집성(멀바우) 910*2440*15 S/F,멀바우 집성판사이드핑거 15T x 910 x 2400,P0000BJU,P0000BJU000B,74.51
(1)302멀바1838,◈집성(멀바우) 910*2440*18 S/F,멀바우 집성판사이드핑거 18T x 910 x 2400,P0000BJU,P0000BJU000C,74.51
(1)302멀바1848,◈집성(멀바우) 1220*2440*18 S/F 사팔,멀바우 집성판사이드핑거 18T x 1220 x 2440,P0000BJU,P0000BJU000I,75.0
(1)302멀바계단30300,◈집성계단재 30*300*3600 (멀바우) S/F,멀바우계단재 계단판 30 x 300 x 3600,P0000BFR,P0000BFR000A,82.35
(1)302멀바계단38300,◈집성계단재 38*300*3600 (멀바우) S/F,멀바우계단재 계단판 38 x 300 x 3600,P0000BFR,P0000BFR000B,82.35
(1)302미송계단38300,◈집성계단재 38*300*3600 (미송/라디) T/F,라디에타파인계단재 계단판 38 x 300 x 3600,P0000BFP,P0000BFP000D,71.43
(1)302미송대봉9090,◈라디에타(미송) 대봉(大) 90*90*1200,라디에타파인계단재 대봉 90 x 90 x 1200,P0000BFP,P0000BFP000H,80.95
(1)302미송반달4070,◈핸드레일(미송/라디에타) 반달◐ 40*70*12자,라디에타파인계단재 반달손스침 40 x 70 x 3600,P0000BFP,P0000BFP000J,58.18
(1)302미송소봉4040,◈라디에타(미송) 소봉(小) 40*40*900,라디에타파인계단재 소봉 40 x 40 x 900,P0000BFP,P0000BFP000G,80.0
(1)302미송식빵6070,◈핸드레일(미송/라디에타) 식빵♣ 60*70*12자,라디에타파인계단재 식빵손스침 60 x 70 x 3600,P0000BFP,P0000BFP000K,58.18
(1)302삼목12솔,◈집성(삼목) 1220*2440*12 솔리드,삼나무 집성판솔리드 12T x 1220 x 2440,P0000BEZ,P0000BEZ000A,80.0
(1)302삼목15솔,◈집성(삼목) 1220*2440*15 솔리드,삼나무 집성판솔리드 15T x 1220 x 2440,P0000BEZ,P0000BEZ000B,80.0
(1)302삼목18솔,◈집성(삼목) 1220*2440*18 솔리드,삼나무 집성판솔리드 18T x 1220 x 2440,P0000BEZ,P0000BEZ000C,80.0
(1)302쏘노30300,◈집성(쏘노클린) 30*300*12자 (코팅),쏘노클린계단재 30T x 300 x 3600 코팅,P0000BJH,P0000BJH000A,70.83
